timestamp_ms,frames_decoded,frames_dropped,frames_received,framerate,jitter_buffer_delay_ms,video_width,video_height,total_decode_time_ms,total_bytes_received,bitrates,overall_avg_bitrates,decoder_implementation
209086232,0,0,0,0,0,0,0,0,0,0,0,unknown
209087234,8.16667,0,8.16667,28,39.2335,480,270,6.07533,259106,2.06871e+06,2.06871e+06,libvpx
209088236,37,0,37,27.2,142.807,480,270,32.2584,606656,2.77485e+06,2.42178e+06,libvpx
209089238,67,0,67,30,236.867,480,270,57.1568,916329,2.47244e+06,2.43867e+06,libvpx
209090239,95.6,0,95.6,28.6,334.083,480,270,80.1688,1232259,2.52492e+06,2.46021e+06,libvpx
209091240,121,0,121,25.4,405.742,480,270,99.6468,1557017,2.59547e+06,2.48725e+06,libvpx
209092242,151,0,151,30,468.185,480,270,121.989,1798752,1.93002e+06,2.39435e+06,libvpx
209093243,181,0,181,30,530.236,480,270,143.468,2018722,1.758e+06,2.30349e+06,libvpx
209094244,211,0,211,30,588.062,480,270,164.546,2249403,1.8436e+06,2.24603e+06,libvpx
209095247,241,0,241,30,663.674,480,270,189.517,2552027,2.41375e+06,2.26469e+06,libvpx
209096248,271,0,271,30,747.825,480,270,214.54,2835407,2.26478e+06,2.2647e+06,libvpx
209097250,301,0,301,30,835.33,480,270,239.892,3170183,2.67286e+06,2.30182e+06,libvpx
209098251,331,0,331,30,932.032,480,270,267.538,3515805,2.76221e+06,2.34016e+06,libvpx
209099253,361,0,361,30,1052.05,640,360,302.417,4002795,3.88814e+06,2.45929e+06,libvpx
209100254,391,0,391,30,1220.02,640,360,353.167,4732245,5.82977e+06,2.6999e+06,libvpx
209101256,421,0,421,30,1524.35,960,540,437.601,6236857,1.20129e+07,3.32101e+06,libvpx
209102258,451,0,451,30,1952.42,960,540,551.648,7546485,1.04561e+07,3.76712e+06,libvpx
209103259,480.8,0,480.8,29.8,2364.67,1280,720,677.221,9252496,1.36345e+07,4.34721e+06,libvpx
209104261,511,0,511,30,2845.65,1280,720,830.671,10778847,1.21864e+07,4.78289e+06,libvpx
209105262,540.4,0,540.4,29.4,3329.54,1920,1080,1019.78,12810265,1.62351e+07,5.38529e+06,libvpx
209106263,570,0,570,29.6,4188.95,1920,1080,1298.84,15893151,2.46384e+07,6.34742e+06,libvpx
209107263,600,0,600,30,5119.56,1920,1080,1613.24,19324335,2.74495e+07,7.3508e+06,libvpx
209108264,630,0,630,30,6081.98,1920,1080,1935.2,22941383,2.89075e+07,8.3302e+06,libvpx
209109265,658.8,0,658.8,28.8,7058.19,1920,1080,2242.53,26448580,2.80295e+07,9.18633e+06,libvpx
209110266,689.8,0,689.8,30.8,8040.98,1920,1080,2556.23,29626372,2.53969e+07,9.86149e+06,libvpx
209111268,720,0,720,30.2,9022.12,1920,1080,2853.01,32549422,2.33377e+07,1.04008e+07,libvpx
209112270,747.6,0,747.6,27.6,10011.5,1920,1080,3133.33,35546574,2.39294e+07,1.09214e+07,libvpx
209113271,780.2,0,780.2,32.6,10968.3,1920,1080,3447.42,38154321,2.08411e+07,1.12887e+07,libvpx
209114272,811,0,811,30.8,11745.5,1920,1080,3686.47,40479667,1.85842e+07,1.15491e+07,libvpx
209115273,840.8,0,840.8,29.8,12524.5,1920,1080,3927.62,42822699,1.87255e+07,1.17965e+07,libvpx
209116274,870.4,0,870.4,29.6,13342.2,1920,1080,4183.75,45437527,2.08977e+07,1.20997e+07,libvpx
209117276,900.8,0,900.8,30.2,14218.6,1920,1080,4451.51,48071000,2.10257e+07,1.23878e+07,libvpx
209118277,930.2,0,930.2,29.4,15088.6,1920,1080,4713.83,50538009,1.97164e+07,1.26168e+07,libvpx
209119280,960.8,0,960.8,30.6,16044.3,1920,1080,4983.77,53257203,2.16885e+07,1.28921e+07,libvpx
209120285,991,0,991,30,16925,1920,1080,5262.67,55920686,2.12019e+07,1.31373e+07,libvpx
209121286,1020.4,0,1020.4,29.4,17809.1,1920,1080,5586.64,58670714,2.19782e+07,1.33898e+07,libvpx
209122287,1051,0,1051,30.6,18682.3,1920,1080,5866.94,61198941,2.02056e+07,1.3579e+07,libvpx
209123288,1080.8,0,1080.8,29.8,19486.4,1920,1080,6121.09,63727514,2.02084e+07,1.37581e+07,libvpx
209124289,1111,0,1111,30.2,20324.5,1920,1080,6389.9,66283018,2.04236e+07,1.39334e+07,libvpx
209125290,1141,0,1141,30,21162.1,1920,1080,6646.85,68874162,2.07084e+07,1.41071e+07,libvpx
209126291,1170.8,0,1170.8,29.8,22019,1920,1080,6912.11,71497900,2.09689e+07,1.42785e+07,libvpx
209127294,1201.2,0,1201.2,30.4,22857.5,1920,1080,7176.39,74117667,2.08954e+07,1.44401e+07,libvpx
209128295,1230.8,0,1230.8,29.6,23725.4,1920,1080,7444.04,76884702,2.21142e+07,1.46228e+07,libvpx
209129296,1261.2,0,1261.2,30.2,24598.1,1920,1080,7720.97,79415298,2.02245e+07,1.4753e+07,libvpx
209130301,1291,0,1291,29.4,25420.1,1920,1080,8034.74,82078722,2.12014e+07,1.49e+07,libvpx
