timestamp_ms,frames_decoded,frames_dropped,frames_received,framerate,jitter_buffer_delay_ms,video_width,video_height,total_decode_time_ms,total_bytes_received,bitrates,overall_avg_bitrates,decoder_implementation
207281583,0,0,0,0,0,0,0,0,0,0,0,unknown
207282584,0.333333,0,0.333333,15.8333,11.284,960,528,0.660833,12745,101858,101858,libvpx
207283585,19.6,0,19.6,32.6,439.706,960,528,43.443,703656,5.52177e+06,2.81181e+06,libvpx
207284586,51,0,51,31.4,977.946,960,528,119.576,1385663,5.45061e+06,3.69141e+06,libvpx
207285587,81.8,0,81.8,30.8,1116.54,960,528,197.754,2111062,5.79739e+06,4.21791e+06,libvpx
207286588,112,0,112,30.2,1288.93,960,528,276.979,2834737,5.78362e+06,4.53105e+06,libvpx
207287589,141,0,141,29,1526.48,960,528,354.824,3639943,6.43521e+06,4.84841e+06,libvpx
207288590,171.6,0,171.6,30.6,1940.19,960,528,442.699,4521266,7.04354e+06,5.162e+06,libvpx
207289591,201.6,0,201.6,29.8,2293.99,960,528,536.664,5469040,7.57462e+06,5.46358e+06,libvpx
207290592,231.4,0,231.4,29.4,2603.28,960,528,625.869,6487708,8.1412e+06,5.76109e+06,libvpx
207291593,262,0,262,30.4,2943.89,960,528,719.926,7457277,7.7488e+06,5.95986e+06,libvpx
207292593,284.8,0,284.8,22.8,3205.89,1280,704,794.777,8120616,5.30671e+06,5.90054e+06,libvpx
207293594,311.6,0,311.6,26.8,3519.52,1280,704,913.002,9373327,1.00117e+07,6.24316e+06,libvpx
207294595,341.8,0,341.8,30.2,4178.4,1280,704,1046.07,10577490,9.62368e+06,6.50322e+06,libvpx
207295597,372,0,372,30.2,5420.8,1280,704,1167.91,11618161,8.30875e+06,6.63232e+06,libvpx
207296598,394,0,394,22,6557.2,1920,1072,1268.79,12417761,6.39041e+06,6.61619e+06,libvpx
207297598,419.4,0,419.4,25.4,8703.97,1920,1072,1450.6,14041982,1.29938e+07,7.01441e+06,libvpx
207298600,449,0,449,29.4,11614.6,1920,1072,1703.17,15822031,1.4212e+07,7.43822e+06,libvpx
207299600,479,0,479,30,15030.7,1920,1072,1969.27,17651668,1.46371e+07,7.83778e+06,libvpx
207300602,508.8,0,508.8,29.8,18473.9,1920,1072,2240.15,19516236,1.48868e+07,8.20915e+06,libvpx
207301603,539,0,539,30.2,22606.6,1920,1072,2516.98,21596580,1.66261e+07,8.63e+06,libvpx
207302604,568.2,0,568.2,29.2,26901.1,1920,1072,2788.39,23872284,1.81874e+07,9.08512e+06,libvpx
207303606,598,0,598,29.8,31543,1920,1072,3081.72,25893065,1.6134e+07,9.40583e+06,libvpx
207304607,628,0,628,29.6,35448.5,1920,1072,3376.72,27853930,1.56712e+07,9.67822e+06,libvpx
207305607,658.2,0,658.2,30,40333.1,1920,1072,3633.34,29329014,1.18007e+07,9.76657e+06,libvpx
207306609,688,0,688,29.8,45585.8,1920,1072,3863.16,30792707,1.16862e+07,9.84343e+06,libvpx
207307610,718,0,718,30,50701.9,1920,1072,4115.09,32328104,1.22709e+07,9.93679e+06,libvpx
207308611,748,0,748,30,55903.2,1920,1072,4361.6,33863646,1.22721e+07,1.00233e+07,libvpx
207309612,778,0,778,30,61523.7,1920,1072,4597.05,35387401,1.21779e+07,1.01002e+07,libvpx
207310613,808,0,808,30,67062.9,1920,1072,4827.72,36891986,1.20247e+07,1.01666e+07,libvpx
207311614,838,0,838,30,72689.3,1920,1072,5049.41,38417502,1.21919e+07,1.02341e+07,libvpx
207312616,868.4,0,868.4,30.4,78417.2,1920,1072,5284.1,40012482,1.27344e+07,1.03148e+07,libvpx
207313618,899,0,899,30,84049.6,1920,1072,5529.64,41584290,1.25494e+07,1.03847e+07,libvpx
207314618,929,0,929,30,89654.7,1920,1072,5763.7,43087256,1.20237e+07,1.04343e+07,libvpx
207315619,959,0,959,30,95312.8,1920,1072,5990.83,44664672,1.26067e+07,1.04982e+07,libvpx
207316620,989,0,989,30,100813,1920,1072,6231.25,46190877,1.21974e+07,1.05468e+07,libvpx
207317621,1019,0,1019,30,106141,1920,1072,6472.23,47711296,1.21512e+07,1.05913e+07,libvpx
207318622,1049.4,0,1049.4,30.4,111680,1920,1072,6741.36,49365461,1.32201e+07,1.06624e+07,libvpx
207319625,1080,0,1080,30.4,117385,1920,1072,6982.71,50890664,1.21651e+07,1.0702e+07,libvpx
207320626,1110,0,1110,30,122973,1920,1072,7214.21,52485031,1.27422e+07,1.07543e+07,libvpx
207321627,1140,0,1140,30,128568,1920,1072,7447.56,53989882,1.20268e+07,1.07861e+07,libvpx
207322628,1170,0,1170,30,134376,1920,1072,7687.06,55588855,1.2779e+07,1.08347e+07,libvpx
207323630,1200.4,0,1200.4,30.2,139978,1920,1072,7934.43,57058329,1.17323e+07,1.08561e+07,libvpx
207324631,1226.6,0,1226.6,25.6,144538,1920,1072,8135.47,58608571,1.23895e+07,1.08918e+07,libvpx
207325632,1256,0,1256,29.4,150194,1920,1072,8373.72,60253651,1.31475e+07,1.0943e+07,libvpx
207326633,1286,0,1286,30,155946,1920,1072,8622.34,62014900,1.40759e+07,1.10126e+07,libvpx
207327636,1316.8,0,1316.8,30.4,161491,1920,1072,8893.75,64004455,1.58688e+07,1.11184e+07,libvpx
207328637,1347,0,1347,30,167045,1920,1072,9167.58,66171538,1.73193e+07,1.12503e+07,libvpx
207329638,1377,0,1377,30,172677,1920,1072,9441.22,68409503,1.78858e+07,1.13885e+07,libvpx
207330639,1407,0,1407,30,178449,1920,1072,9721.76,70857974,1.95682e+07,1.15554e+07,libvpx
207331640,1437,0,1437,30,184226,1920,1072,10028.5,73465811,2.08419e+07,1.17411e+07,libvpx
207332642,1467,0,1467,30,189321,1920,1072,10350.6,75719618,1.79945e+07,1.18639e+07,libvpx
207333643,1497.2,0,1497.2,29.4,193595,1920,1072,10629.6,77772727,1.64085e+07,1.19512e+07,libvpx
207334643,1527,0,1527,29.4,199272,1920,1072,10874.2,79542889,1.41613e+07,1.19929e+07,libvpx
207335644,1557,0,1557,30,205678,1920,1072,11117.1,81291716,1.39766e+07,1.20296e+07,libvpx
207336646,1587,0,1587,30,211563,1920,1072,11373.3,83078974,1.42695e+07,1.20704e+07,libvpx
207337647,1617.4,0,1617.4,30.4,217018,1920,1072,11600.8,84286331,9.64921e+06,1.20272e+07,libvpx
207338647,1647,0,1647,29.6,222980,1920,1072,11812,85519255,9.86339e+06,1.19892e+07,libvpx
207339648,1677,0,1677,30,229636,1920,1072,12028,86755054,9.87652e+06,1.19528e+07,libvpx
207340649,1707,0,1707,30,236417,1920,1072,12251.9,87993130,9.89471e+06,1.19179e+07,libvpx
207341650,1737,0,1737,30,243322,1920,1072,12471.6,89247450,1.00245e+07,1.18864e+07,libvpx
207342651,1767,0,1767,30,249964,1920,1072,12687.8,90500410,1.00137e+07,1.18557e+07,libvpx
207343652,1797.4,0,1797.4,29.8,256718,1920,1072,12909.7,91762310,1.00851e+07,1.18271e+07,libvpx
207344653,1827,0,1827,29.2,263238,1920,1072,13122,93058039,1.03555e+07,1.18038e+07,libvpx
207345654,1857,0,1857,30,270306,1920,1072,13327.9,94298356,9.91262e+06,1.17742e+07,libvpx
207346656,1887,0,1887,30,277598,1920,1072,13544.6,95656365,1.08424e+07,1.17599e+07,libvpx
207347657,1917,0,1917,30,284123,1920,1072,13766.6,96898672,9.92853e+06,1.17321e+07,libvpx
